detid,avg_speed,speed_std,avg_flow,limit,lat,long,fclass,speed_gap,risk_cluster,risk_label
N51141G,28.0,0.0,1116.0,48,53.579728,-2.412112,primary,-20.0,3,LOW RISK: Congestion/Slow
N51151A,38.0,0.0,312.0,48,53.579472,-2.415317,primary,-10.0,0,LOW RISK: Congestion/Slow
N51151B,27.0,0.0,792.0,48,53.57978,-2.41158,primary,-21.0,3,LOW RISK: Congestion/Slow
N51151D,32.0,0.0,720.0,48,53.577694,-2.416091,primary,-16.0,0,LOW RISK: Congestion/Slow
N51161W,22.0,0.0,936.0,48,53.576104,-2.419151,primary,-26.0,3,LOW RISK: Congestion/Slow
N51161X,28.0,0.0,156.0,48,53.578352,-2.418127,secondary,-20.0,0,LOW RISK: Congestion/Slow
N51161Y,28.0,0.0,828.0,48,53.578239,-2.414931,primary,-20.0,3,LOW RISK: Congestion/Slow
N51161Z,41.0,0.0,228.0,48,53.57678,-2.414562,secondary,-7.0,0,LOW RISK: Congestion/Slow
N51171M,22.0,0.0,1488.0,48,53.574968,-2.423988,primary,-26.0,3,LOW RISK: Congestion/Slow
N51171N,49.0,0.0,276.0,80,53.574366,-2.418581,trunk_link,-31.0,0,LOW RISK: Congestion/Slow
N51171S,46.0,0.0,216.0,80,53.577078,-2.42023,trunk_link,-34.0,0,LOW RISK: Congestion/Slow
N51171V,32.0,0.0,828.0,48,53.57737,-2.416593,primary,-16.0,3,LOW RISK: Congestion/Slow
N51231N,25.0,0.0,552.0,48,53.573227,-2.42273,secondary,-23.0,0,LOW RISK: Congestion/Slow
N51231O,35.0,0.0,408.0,48,53.571454,-2.421421,secondary,-13.0,0,LOW RISK: Congestion/Slow
N51232K,28.0,0.0,540.0,48,53.574118,-2.423498,secondary,-20.0,0,LOW RISK: Congestion/Slow
N51232L,27.0,0.0,588.0,48,53.572717,-2.422427,secondary,-21.0,0,LOW RISK: Congestion/Slow
N51241B,32.0,0.0,432.0,48,53.57594,-2.42506,primary,-16.0,0,LOW RISK: Congestion/Slow
N51241D,30.0,0.0,552.0,48,53.574409,-2.423928,primary,-18.0,0,LOW RISK: Congestion/Slow
N51241E,30.0,0.0,900.0,48,53.574374,-2.423996,primary,-18.0,3,LOW RISK: Congestion/Slow
N51241F,17.0,0.0,624.0,48,53.57424,-2.426661,primary,-31.0,0,LOW RISK: Congestion/Slow
N51242G,22.0,0.0,300.0,48,53.574812,-2.424124,secondary,-26.0,0,LOW RISK: Congestion/Slow
N51242H,32.0,0.0,984.0,48,53.575526,-2.420038,primary,-16.0,3,LOW RISK: Congestion/Slow
N51242J,25.0,0.0,684.0,48,53.573485,-2.423127,secondary,-23.0,0,LOW RISK: Congestion/Slow
N51261B,37.218360556089706,14.305654126432998,368.72778166550034,48,53.577614,-2.434557,primary,-10.781639443910294,1,MEDIUM RISK: Unstable Flow
N51261X,45.44640422645043,17.378463074516034,204.01591089896579,48,53.578457,-2.436713,secondary,-2.553595773549567,1,MEDIUM RISK: Unstable Flow
N51261Y,45.38783642635557,17.35017736897491,204.49243027888446,48,53.578454,-2.43674,secondary,-2.6121635736444304,1,MEDIUM RISK: Unstable Flow
N51271H,38.76058019339655,19.9726955125259,269.3840579710145,48,53.581944,-2.430711,secondary,-9.23941980660345,1,MEDIUM RISK: Unstable Flow
N51271J,31.15827524683682,19.522958143882065,344.88116747741486,48,53.581284,-2.428753,secondary,-16.84172475316318,1,MEDIUM RISK: Unstable Flow
N51311A,32.0,0.0,636.0,48,53.574967,-2.434815,primary,-16.0,0,LOW RISK: Congestion/Slow
N51311Z,53.0,0.0,480.0,48,53.576439,-2.434258,primary,5.0,0,LOW RISK: Congestion/Slow
N51321P,35.0,0.0,648.0,48,53.574133,-2.43018,primary,-13.0,0,LOW RISK: Congestion/Slow
N51321S,20.0,0.0,1440.0,48,53.574685,-2.424795,primary,-28.0,3,LOW RISK: Congestion/Slow
N51321T,24.0,0.0,708.0,0,53.572845,-2.427135,tertiary,24.0,2,HIGH RISK: Speeding Zone
N51331A,38.0,0.0,552.0,48,53.574549,-2.434559,primary,-10.0,0,LOW RISK: Congestion/Slow
N51331B,33.0,0.0,600.0,48,53.572485,-2.435834,primary,-15.0,0,LOW RISK: Congestion/Slow
N51331K,32.0,0.0,780.0,48,53.574032,-2.431078,primary,-16.0,0,LOW RISK: Congestion/Slow
N51341A,35.0,0.0,600.0,48,53.573595,-2.43403,primary,-13.0,0,LOW RISK: Congestion/Slow
N51341V,38.0,0.0,588.0,48,53.572872,-2.437516,secondary,-10.0,0,LOW RISK: Congestion/Slow
N51341W,33.0,0.0,600.0,48,53.571275,-2.437439,primary,-15.0,0,LOW RISK: Congestion/Slow
N51341X,24.0,0.0,396.0,0,53.571704,-2.435421,tertiary,24.0,2,HIGH RISK: Speeding Zone
N51342A,32.0,0.0,528.0,48,53.573672,-2.438716,secondary,-16.0,0,LOW RISK: Congestion/Slow
N51343U,27.0,0.0,672.0,48,53.572225,-2.436464,secondary,-21.0,0,LOW RISK: Congestion/Slow
N51351B,32.0,0.0,720.0,48,53.574647,-2.440195,secondary,-16.0,0,LOW RISK: Congestion/Slow
N51351J,24.0,0.0,624.0,48,53.574114,-2.437564,primary,-24.0,0,LOW RISK: Congestion/Slow
N51351M,20.0,0.0,312.0,48,53.573644,-2.439699,primary,-28.0,0,LOW RISK: Congestion/Slow
N51351N,28.0,0.0,756.0,48,53.573072,-2.44215,primary,-20.0,0,LOW RISK: Congestion/Slow
N51351S,30.0,0.0,528.0,48,53.573116,-2.438048,secondary,-18.0,0,LOW RISK: Congestion/Slow
N51352P,32.0,0.0,672.0,48,53.573883,-2.43875,primary,-16.0,0,LOW RISK: Congestion/Slow
